Sample;Associatednumber;DNA_concentration_ng.uL;Station;StationNumber;Stromkilometer;Sample_type;Sample_date;SPM_mgperL;DOC_mg.L;TN_mg.L;DIC_mg.L;DOC_uM.L;DIC_uM.L;POC_mgperL;PTC_mgperL;PTN_mgperL;PTH_mgperL;BioSample;ERANumber;ProjectID
SchL1;153;59;Schwarztonnensand;4;665;Light_fraction;Jun-22;151,5;6,53;1,94;10,46;5,435,986,246;870,890,123;1,136,930,663;1,472,638,922;1,845,953,576;24,547,255;SAMEA112714810;ERS14712376;GROS22.2
SchL2;154;29;Schwarztonnensand;4;665;Light_fraction;Jun-22;151,5;;;10,39;0;8,650,619,864;1,136,046,961;146,880,955;3,053,678,522;24,547,255;SAMEA112714811;ERS14712377;GROS22.2
SchH1;155;52;Schwarztonnensand;4;665;Heavy_fraction;Jun-22;393;6,53;1,94;10,46;5,435,986,246;870,890,123;2,835,993,465;3,715,472,517;5,599,719,811;657,866,434;SAMEA112714812;ERS14712378;GROS22.2
SchH2;156;45;Schwarztonnensand;4;665;Heavy_fraction;Jun-22;393;;;10,39;0;8,650,619,864;2,831,182,203;3,594,110,888;5,707,727,733;628,409,728;SAMEA112714813;ERS14712379;GROS22.2
SchF1;157;0,625;Schwarztonnensand;4;665;Free_living;Jun-22;;6,53;1,94;10,46;5,435,986,246;870,890,123;;;;;SAMEA112714814;ERS14712380;GROS22.2
SchF2;158;2,01;Schwarztonnensand;4;665;Free_living;Jun-22;;;;10,39;0;8,650,619,864;;;;;SAMEA112714815;ERS14712381;GROS22.2
MGL1;159;26;Meedem Grund;6;712;Light_fraction;Jun-22;17;5,01;1,11;15,73;4,171,280,608;1,309,665,548;3,467,054,296;4,375,302,731;3,078,225,777;0,58913412;SAMEA112714816;ERS14712382;GROS22.2
MGL2;160;11;Meedem Grund;6;712;Light_fraction;Jun-22;17;;;15,32;0;127,552,932;3,492,583,441;4,157,323,107;2,826,861,886;0,58913412;SAMEA112714817;ERS14712383;GROS22.2
MGH1;161;39;Meedem Grund;6;712;Heavy_fraction;Jun-22;34;5,01;1,11;15,73;4,171,280,608;1,309,665,548;6,404,869,775;7,819,773,553;2,241,655,327;0,78551216;SAMEA112714818;ERS14712384;GROS22.2
MGF1;163;21;Meedem Grund;6;712;Free_living;Jun-22;;5,01;1,11;15,73;4,171,280,608;1,309,665,548;;;;;SAMEA112714819;ERS14712385;GROS22.2
MGF2;164;3,46;Meedem Grund;6;712;Free_living;Jun-22;;;;15,32;0;127,552,932;;;;;SAMEA112714820;ERS14712386;GROS22.2
TL1;165;42;Twielenfleth;3;651;Light_fraction;Jun-22;56,5;6,66;1,5;9,975;5,541,725,295;8,305,094,624;4,680,670,583;5,567,317,434;2,622,628,724;0,9818902;SAMEA112714821;ERS14712387;GROS22.2
TL2;166;33;Twielenfleth;3;651;Light_fraction;Jun-22;56,5;6,367;1,442;10,03;5,301,106,513;8,350,887,126;4,438,143,704;5,651,759,991;176,936,614;0,88370118;SAMEA112714822;ERS14712388;GROS22.2
TH1;167;10;Twielenfleth;3;651;Heavy_fraction;Jun-22;83,5;6,66;1,5;9,975;5,541,725,295;8,305,094,624;6,766,205,368;8,697,583,392;1,885,229,184;117,826,824;SAMEA112714823;ERS14712389;GROS22.2
TH2;168;37;Twielenfleth;3;651;Heavy_fraction;Jun-22;83,5;6,367;1,442;10,03;5,301,106,513;8,350,887,126;6,450,036,724;8,809,518,874;1,643,684,195;127,645,726;SAMEA112714824;ERS14712390;GROS22.2
TF1;169;0,011;Twielenfleth;3;651;Free_living;Jun-22;;6,66;1,5;9,975;5,541,725,295;8,305,094,624;;;;;SAMEA112714825;ERS14712391;GROS22.2
TF2;170;2,59;Twielenfleth;3;651;Free_living;Jun-22;;6,367;1,442;10,03;5,301,106,513;8,350,887,126;;;;;SAMEA112714826;ERS14712392;GROS22.2
BbL1;171;18;Brunsbuettel;5;694;Light_fraction;Jun-22;50,25;6,51;1,81;13,64;5,419,334,427;1,135,654,042;6,967,492,859;9,334,830,131;3,560,333,865;176,740,236;SAMEA112714827;ERS14712393;GROS22.2
BbL2;172;28;Brunsbuettel;5;694;Light_fraction;Jun-22;50,25;;;13,56;0;1,128,993,314;6,771,114,819;917,969,148;294,370,682;14,728,353;SAMEA112714828;ERS14712394;GROS22.2
BbH1;173;32;Brunsbuettel;5;694;Heavy_fraction;Jun-22;35,5;6,51;1,81;13,64;5,419,334,427;1,135,654,042;5,230,529,095;706,862,755;3,066,443,095;108,007,922;SAMEA112714829;ERS14712395;GROS22.2
BbH2;174;18;Brunsbuettel;5;694;Heavy_fraction;Jun-22;35,5;;;13,56;0;1,128,993,314;5,369,957,504;6,830,028,231;2,667,795,673;0,9818902;SAMEA112714830;ERS14712396;GROS22.2
BbF1;175;17;Brunsbuettel;5;694;Free_living;Jun-22;;6,51;1,81;13,64;5,419,334,427;1,135,654,042;;;;;SAMEA112714831;ERS14712397;GROS22.2
BbF2;176;11;Brunsbuettel;5;694;Free_living;Jun-22;;;;13,56;0;1,128,993,314;;;;;SAMEA112714832;ERS14712398;GROS22.2
ML1;177;103;Muehlenberger Loch;2;633;Light_fraction;Nov-22;20;5,712;1,562;12,48;4,755,759,448;1,039,073,493;1,395,265,974;1,153,720,985;2,125,792,283;0,58913412;SAMEA112714833;ERS14712399;GROS22.2
ML2;178;19;Muehlenberger Loch;2;633;Light_fraction;Nov-22;20;;;;0;0;1,456,143,167;107,811,544;2,607,900,371;0,39275608;SAMEA112714834;ERS14712400;GROS22.2
MH1;179;102;Muehlenberger Loch;2;633;Heavy_fraction;Nov-22;29;5,712;1,562;12,48;4,755,759,448;1,039,073,493;1,595,571,575;1,869,518,941;2,586,298,787;0,39275608;SAMEA112714835;ERS14712401;GROS22.2
MH2;180;4,01;Muehlenberger Loch;2;633;Heavy_fraction;Nov-22;29;;;;0;0;1,536,658,163;1,711,434,619;1,992,255,216;0,39275608;SAMEA112714836;ERS14712402;GROS22.2
MF1;181;70;Muehlenberger Loch;2;633;Free_living;Nov-22;;5,712;1,562;12,48;4,755,759,448;1,039,073,493;;;;;SAMEA112714837;ERS14712403;GROS22.2
MF2;182;76;Muehlenberger Loch;2;633;Free_living;Nov-22;;;;;0;0;;;;;SAMEA112714838;ERS14712404;GROS22.2
SchL1;183;167;Schwarztonnensand;4;665;Light_fraction;Nov-22;86;7,057;2,999;17,03;5,875,594,262;141,790,237;2,885,775,298;3,899,085,984;2,445,888,488;0,88370118;SAMEA112714839;ERS14712405;GROS22.2
SchL2;184;38;Schwarztonnensand;4;665;Light_fraction;Nov-22;86;;;;0;0;289,853,987;3,728,237,089;0,830679109;0,68732314;SAMEA112714840;ERS14712406;GROS22.2
SchH1;185;170;Schwarztonnensand;4;665;Heavy_fraction;Nov-22;185;7,057;2,999;17,03;5,875,594,262;141,790,237;5,417,088,233;7,247,331,566;1,776,239,372;0,9818902;SAMEA112714841;ERS14712407;GROS22.2
SchH2;186;173;Schwarztonnensand;4;665;Heavy_fraction;Nov-22;185;;;;0;0;5,299,261,409;765,776,167;3,610,410,265;117,826,824;SAMEA112714842;ERS14712408;GROS22.2
SchF1;187;0,279;Schwarztonnensand;4;665;Free_living;Nov-22;;7,057;2,999;17,03;5,875,594,262;141,790,237;;;;;SAMEA112714843;ERS14712409;GROS22.2
SchF2;188;0,0755;Schwarztonnensand;4;665;Free_living;Nov-22;;;;;0;0;;;;;SAMEA112714844;ERS14712410;GROS22.2
MGL1;189;8,5;Meedem Grund;6;712;Light_fraction;Nov-22;19;3,407;1,054;11,49;2,836,637,332;9,566,469,898;0,741327101;0,877809839;2,186,669,475;0,39275608;SAMEA112714845;ERS14712411;GROS22.2
MGL2;190;3,02;Meedem Grund;6;712;Light_fraction;Nov-22;19;;;;0;0;0,858172035;0,999564224;1,869,518,941;0,29456706;SAMEA112714846;ERS14712412;GROS22.2
MGH1;191;20;Meedem Grund;6;712;Heavy_fraction;Nov-22;59;3,407;1,054;11,49;2,836,637,332;9,566,469,898;118,023,202;1,792,931,505;1,832,207,113;0,29456706;SAMEA112714847;ERS14712413;GROS22.2
MGH2;192;11;Meedem Grund;6;712;Heavy_fraction;Nov-22;59;;;;0;0;1,287,258,052;1,377,591,951;2,678,596,466;0,29456706;SAMEA112714848;ERS14712414;GROS22.2
MGF1;193;6,5;Meedem Grund;6;712;Free_living;Nov-22;;3,407;1,054;11,49;2,836,637,332;9,566,469,898;;;;;SAMEA112714849;ERS14712415;GROS22.2
MGF2;194;0,633;Meedem Grund;6;712;Free_living;Nov-22;;;;;0;0;;;;;SAMEA112714850;ERS14712416;GROS22.2
TL1;195;134;Twielenfleth;3;651;Light_fraction;Nov-22;138;5,546;1,755;13,1;4,617,549,352;1,090,694,131;476,216,747;6,093,610,581;2,806,242,192;0,78551216;SAMEA112714851;ERS14712417;GROS22.2
TL2;196;152;Twielenfleth;3;651;Light_fraction;Nov-22;138;;;;0;0;5,100,919,589;5,986,584,549;2,642,266,528;0,88370118;SAMEA112714852;ERS14712418;GROS22.2
TH1;197;8,5;Twielenfleth;3;651;Heavy_fraction;Nov-22;358;5,546;1,755;13,1;4,617,549,352;1,090,694,131;1,131,824,834;1,409,994,327;3,347,263,692;24,547,255;SAMEA112714853;ERS14712419;GROS22.2
TH2;198;149;Twielenfleth;3;651;Heavy_fraction;Nov-22;358;;;;0;0;;;;;SAMEA112714854;ERS14712420;GROS22.2
TF1;199;0,276;Twielenfleth;3;651;Free_living;Nov-22;;5,546;1,755;13,1;4,617,549,352;1,090,694,131;;;;;SAMEA112714855;ERS14712421;GROS22.2
TF2;200;0,353;Twielenfleth;3;651;Free_living;Nov-22;;;;;0;0;;;;;SAMEA112714856;ERS14712422;GROS22.2
BbL1;201;14;Brunsbuettel;5;694;Light_fraction;Nov-22;35;3,636;1,351;10,78;3,027,300,657;897,533,033;1,146,847,754;1,331,443,111;2,556,842,081;0,39275608;SAMEA112714857;ERS14712423;GROS22.2
BbL2;202;28;Brunsbuettel;5;694;Light_fraction;Nov-22;35;;;;0;0;1,155,684,765;0;1,258,783,236;0,39275608;SAMEA112714858;ERS14712424;GROS22.2
BbH1;203;34;Brunsbuettel;5;694;Heavy_fraction;Nov-22;38;3,636;1,351;10,78;3,027,300,657;897,533,033;1,420,795,119;1,535,676,273;2,512,657,022;0,29456706;SAMEA112714859;ERS14712425;GROS22.2
BbH2;204;20;Brunsbuettel;5;694;Heavy_fraction;Nov-22;38;;;;0;0;1,403,121,096;1,738,927,544;2,876,938,286;0,29456706;SAMEA112714860;ERS14712426;GROS22.2
BbF1;205;2,65;Brunsbuettel;5;694;Free_living;Nov-22;;3,636;1,351;10,78;3,027,300,657;897,533,033;;;;;SAMEA112714861;ERS14712427;GROS22.2
BbF2;206;1,28;Brunsbuettel;5;694;Free_living;Nov-22;;;;;0;0;;;;;SAMEA112714862;ERS14712428;GROS22.2
